"poi_type","poi_category_1"
"bakeshop","Restaurants, Fast Food and Cafes"
"baking_oven","Shopping and Retail"
"baking_supplies","Shopping and Retail"
"ballet","Education and Learning"
"ballot_box","Government and Public Services"
"ballot_drop_box","Government and Public Services"
"bandstand","Entertainment and Recreation"
"bank","Financial Services"
"bank_atm","Financial Services"
"banquet_hall","Events and Venues"
"bar","Restaurants, Fast Food and Cafes"
"bar_b_que","Restaurants, Fast Food and Cafes"
"bar_supplies","Restaurants, Fast Food and Cafes"
"barbecue","Restaurants, Fast Food and Cafes"
"barbecue_equipment","Shopping and Retail"
"barber","Personal Care and Beauty"
"barbershop","Personal Care and Beauty"
"baseball","Entertainment and Recreation"
"basket","Other"
"bath","Other"
"bathroom_furnishing","Professional and Business Services"
"batteries","Other"
"battery","Other"
"bbq","Restaurants, Fast Food and Cafes"
"beach","Entertainment and Recreation"
"beach_resort","Accommodation"
"bead","Shopping and Retail"
"beads","Shopping and Retail"
"beauty","Personal Care and Beauty"
"beauty_school","Personal Care and Beauty"
"beauty_supple","Personal Care and Beauty"
"beauty_supplies","Personal Care and Beauty"
"beauty_supply","Personal Care and Beauty"
"bed","Shopping and Retail"
"bedding","Shopping and Retail"
"bedroom","Accommodation"
"beef_jerky","Shopping and Retail"
"beekeeping","Professional and Business Services"
"beer","Shopping and Retail"
"bell","Other"
"bell_tower","Tourism and Attractions"
"ben","Other"
"bench","Other"
"betting","Entertainment and Recreation"
"beverages","Shopping and Retail"
"bicycle","Shopping and Retail"
"bicycle_library","Tourism and Attractions"
"bicycle_parking","Parking"
"bicycle_rental","Professional and Business Services"
"bicycle_repair","Professional and Business Services"
"bicycle_repair_station","Professional and Business Services"
"bicycle_trailer_sharing","Professional and Business Services"
"bicycle_wash","Professional and Business Services"
"biergarten","Restaurants, Fast Food and Cafes"
"bike_repair","Professional and Business Services"
"billboard","Other"
"bindery","Professional and Business Services"
"bingo","Entertainment and Recreation"
"binoculars","Shopping and Retail"
"biometric_identification_forwarding","Professional and Business Services"
"bird_bath","Professional and Business Services"
"bird_feeder","Professional and Business Services"
"bird_hide","Professional and Business Services"
"birding","Professional and Business Services"
"bistro","Restaurants, Fast Food and Cafes"
"blackboard","Other"
"bleachers","Other"
"blinds","Shopping and Retail"
"board_games","Entertainment and Recreation"
"boat","Shopping and Retail"
"boat_parts","Shopping and Retail"
"boat_rental","Professional and Business Services"
"boat_repair","Professional and Business Services"
"boat_sales","Shopping and Retail"
"boat_sharing","Professional and Business Services"
"boat_storage","Professional and Business Services"
"body shop","Shopping and Retail"
"body_piercing","Personal Care and Beauty"
"bookmaker","Industrial and Manufacturing"
"books","Shopping and Retail"
"border_control","Government and Public Services"
"both san felpw","Other"
"boundary=national_park","Entertainment and Recreation"
"boutique","Shopping and Retail"
"bowling","Entertainment and Recreation"
"bowling_alley","Entertainment and Recreation"
"bowling_supply_shop","Shopping and Retail"
"boxes","Other"
"brewery","Restaurants, Fast Food and Cafes"
"brewing_supplies","Shopping and Retail"
"bridal","Shopping and Retail"
"build","Other"
"building","Professional and Business Services"
"building_materials","Industrial and Manufacturing"
"bulk","Other"
"bulk_food","Restaurants, Fast Food and Cafes"
"bulk_foods","Restaurants, Fast Food and Cafes"
"bureau_de_change","Other"
"bus_repair","Automative Services"
"bus_station","Transportation and Transit"
"bus_stop","Transportation and Transit"
"bus_wash","Automative Services"
"business_machines","Professional and Business Services"
"business_services","Professional and Business Services"
"butcher","Shopping and Retail"
"cabinet","Shopping and Retail"
"cabinet_maker","Industrial and Manufacturing"
"cabinets","Shopping and Retail"
"cable","Shopping and Retail"
"cafe","Restaurants, Fast Food and Cafes"
"cake","Shopping and Retail"
"call_centre","Professional and Business Services"
"camera","Professional and Business Services"
"camera_rentals","Professional and Business Services"
"camera_repair","Professional and Business Services"
"camp","Entertainment and Recreation"
"camp_pitch","Entertainment and Recreation"
"camp_site","Entertainment and Recreation"
"campaign_office","Government and Public Services"
"candle","Shopping and Retail"
"candles","Shopping and Retail"
"cannabis","Shopping and Retail"
"cannibis","Shopping and Retail"
"cannon","Other"
"canoe_hire","Professional and Business Services"
"canoe_launch","Professional and Business Services"
"canteen","Restaurants, Fast Food and Cafes"
"canvas","Other"
"car","Automative Services"
"car_accessories","Automative Services"
"car_audio","Automative Services"
"car_bodyshop","Automative Services"
"car_detail","Automative Services"
"car_electronics","Automative Services"
"car_parts","Automative Services"
"car_pooling","Automative Services"
"car_rental","Automative Services"
"car_repair","Automative Services"
"car_service","Automative Services"
"car_sharing","Automative Services"
"car_stereo_store","Automative Services"
"car_wash","Automative Services"
"caravan","Automative Services"
"caravan_rental","Automative Services"
"caravan_site","Entertainment and Recreation"
"cards","Other"
"cargo","Automative Services"
"carpet","Shopping and Retail"
"carpet_cleaning","Professional and Business Services"
"cart_corral","Shopping and Retail"
"cart_return","Shopping and Retail"
"carts","Other"
"cash","Financial Services"
"casino","Entertainment and Recreation"
"casual carpoool pickup","Professional and Business Services"
"cat_boarding","Professional and Business Services"
"cater","Restaurants, Fast Food and Cafes"
"caterer","Restaurants, Fast Food and Cafes"
"catering","Restaurants, Fast Food and Cafes"
"caviar","Restaurants, Fast Food and Cafes"
"cell_phones","Shopping and Retail"
"cellphone_and_tablet_repair_service","Professional and Business Services"
"cellular","Other"
"ceramics","Professional and Business Services"
"certification_agency,_novelty_shop","Professional and Business Services"
"chain and cable","Shopping and Retail"
"chair","Shopping and Retail"
"chalet","Accommodation"
"chandler","Shopping and Retail"
"change_machine","Other"
"charging_station","Gas Stations"
"charity","Government and Public Services"
"charity_donation","Government and Public Services"
"charter_fishing","Entertainment and Recreation"
"check_cashing","Financial Services"
"check_in","Other"
"cheese","Shopping and Retail"
"chemist","Pharmacy"
"cheque_cashing","Financial Services"
"child_amusement_center","Entertainment and Recreation"
"child_services","Education and Learning"
"childcare","Education and Learning"
"children","Other"
"chinese","Other"
"chiropodist","Healthcare and Medical"
"chiropractic","Healthcare and Medical"
"chiropractor","Healthcare and Medical"
"chocolate","Shopping and Retail"
"christmas","Shopping and Retail"
"christmas_trees","Shopping and Retail"
"cigar","Shopping and Retail"
"cigarette","Shopping and Retail"
"cigarette_disposal","Waste and Recycling"
"cigarettes","Shopping and Retail"
"cigars","Shopping and Retail"
"cinema","Entertainment and Recreation"
"circus","Education and Learning"
"circus_school","Education and Learning"
"classes","Education and Learning"
"classroom","Education and Learning"
"cleaner","Professional and Business Services"
"cleaners","Professional and Business Services"
"cleaning","Professional and Business Services"
"cleaning_supplies","Shopping and Retail"
"cleaning_supply","Shopping and Retail"
"clear","Other"
"climbing_gym","Entertainment and Recreation"
"clinic","Healthcare and Medical"
"cloakroom","Professional and Business Services"
"clock","Shopping and Retail"
"clock_repair","Professional and Business Services"
"clocks","Shopping and Retail"
"closed","Other"
"clothes","Shopping and Retail"
"clothing","Shopping and Retail"
"clothing_alteration_shop","Professional and Business Services"
"clothing_and_gifts","Shopping and Retail"
"clothing_donation","Government and Public Services"
"clothing_store_and_fashion_house","Shopping and Retail"
"club","Entertainment and Recreation"
"clubhouse","Entertainment and Recreation"
"coal_chute","Other"
"coast_guard","Other"
"cobbler","Professional and Business Services"
"cocktail","Shopping and Retail"
"coding_school","Education and Learning"
"coffee","Restaurants, Fast Food and Cafes"
"coffee_roasting","Restaurants, Fast Food and Cafes"
"coffee_stand","Restaurants, Fast Food and Cafes"
"coin","Other"
"coins","Other"
"collector","Other"
"college","Education and Learning"
"colthes","Shopping and Retail"
"comedy","Entertainment and Recreation"
"comic_book,_board_games","Shopping and Retail"
"comic_books","Shopping and Retail"
"comics","Shopping and Retail"
"commercial_kitchen","Professional and Business Services"
"common","Other"
"community_centre","Government and Public Services"
"compassion_care","Healthcare and Medical"
"compost","Waste and Recycling"
"compressed_air","Other"
"computer","Shopping and Retail"
"computer coding for children","Education and Learning"
"computer, outdoor","Shopping and Retail"
"computer_lab","Education and Learning"
"computer_repair","Professional and Business Services"
"concert_hall","Events and Venues"
"concession_stand","Other"
"concrete","Other"
"condiments","Shopping and Retail"
"condo","Residential"
"condominium","Residential"
"condos","Residential"
"confectionery","Shopping and Retail"
"conference_center","Events and Venues"
"conference_centre","Events and Venues"
"consignment","Other"
"consignment store for equestrians","Shopping and Retail"
"construction","Industrial and Manufacturing"
"construction_equipment","Industrial and Manufacturing"
"consulting","Professional and Business Services"
"contractor","Professional and Business Services"
"control_box","Other"
"convenience","Shopping and Retail"
"convenience store","Shopping and Retail"
"convenience_store","Shopping and Retail"
"convention centre","Events and Venues"
"convention_centre","Events and Venues"
"cookies","Shopping and Retail"
"cooking_school","Education and Learning"
"cooking_supplies","Shopping and Retail"
"copies","Other"
"copyshop","Professional and Business Services"
"cosmetic_surgery","Personal Care and Beauty"
"cosmetics","Personal Care and Beauty"
"cosmetology_school","Education and Learning"
"costume","Shopping and Retail"
"costume_rental","Professional and Business Services"
"countertop","Shopping and Retail"
"countertop_installation","Professional and Business Services"
"countertops","Shopping and Retail"
"country_store","Shopping and Retail"
"courier","Professional and Business Services"
"courier_company","Professional and Business Services"
"courthouse","Government and Public Services"
"coworking_space","Professional and Business Services"
"cpa","Professional and Business Services"
"craft","Shopping and Retail"
"credit_union","Financial Services"
"crematorium","Religious and Spiritual"
"cryotherapy","Healthcare and Medical"
"crystals","Shopping and Retail"
"curio","Other"
"curtain","Shopping and Retail"
"custom_screen_printing_and_embroidery","Professional and Business Services"
"customs_brokers","Professional and Business Services"
"dairy","Shopping and Retail"
"dance","Education and Learning"
"dancing_school","Education and Learning"
"daycare","Education and Learning"
"decor,_event_planning","Professional and Business Services"
"decorating","Professional and Business Services"
"def","Other"
"deli","Restaurants, Fast Food and Cafes"
"delicatessen","Restaurants, Fast Food and Cafes"
"delivery_locker","Professional and Business Services"
"dental_supplies","Shopping and Retail"
"dentist","Healthcare and Medical"
"denture","Healthcare and Medical"
"dentures","Healthcare and Medical"
"denturist","Healthcare and Medical"
"department_store","Shopping and Retail"
"departure_board","Other"
"design","Other"
"design_school","Education and Learning"
"destination_display","Other"
"device_charging_station","Other"
"diesel shop","Shopping and Retail"
"diet","Other"
"dining hall","Restaurants, Fast Food and Cafes"
"directory","Other"
"disc_golf_course","Entertainment and Recreation"
"discount","Other"
"discount_appliances","Shopping and Retail"
"dish","Other"
"dispensary","Industrial and Manufacturing"
"distributor","Industrial and Manufacturing"
"disused","Other"
"disused:cosmetics","Other"
"disused:information","Other"
"disused:parking_space","Other"
"disused:pub","Other"
"disused:restaurant","Other"
"dive_centre","Entertainment and Recreation"
"divespot","Entertainment and Recreation"
"diving_school","Education and Learning"
"diy_art","Entertainment and Recreation"
"dmv","Government and Public Services"
"doctors","Healthcare and Medical"
"dog","Other"
"dog_food","Shopping and Retail"
"dog_grooming","Professional and Business Services"
"dog_park","Entertainment and Recreation"
"dog_parking","Entertainment and Recreation"
"dog_toilet","Other"
"dog_training","Professional and Business Services"
"doityourself","Other"
"dojo","Other"
"dollar","Other"
"dollar store","Shopping and Retail"
"dollhouse","Shopping and Retail"
"donation","Government and Public Services"
"donation_center","Government and Public Services"
"donations_box","Government and Public Services"
"donations_dropoff","Government and Public Services"
"donut","Restaurants, Fast Food and Cafes"
"donuts","Restaurants, Fast Food and Cafes"
"doorbell","Shopping and Retail"
"doors","Shopping and Retail"
"dormitory","Accommodation"
"dorms","Accommodation"
"doughnut","Shopping and Retail"
"drafting","Professional and Business Services"
"draoery and blinds","Shopping and Retail"
"dressing_room","Shopping and Retail"
"drinking_water","Other"
"drinks","Shopping and Retail"
"driver_examinations","Education and Learning"
"driver_training","Education and Learning"
"driving_school","Education and Learning"
"drop_box","Other"
"drug_store","Shopping and Retail"
"dry_cleaner","Professional and Business Services"
"dry_cleaning","Professional and Business Services"
"dry_food","Restaurants, Fast Food and Cafes"
"dumpster","Waste and Recycling"
"e-bike","Shopping and Retail"
"e-cigarette","Shopping and Retail"
"e_cigarette","Shopping and Retail"
"ear_piercing","Personal Care and Beauty"
"earpiercing","Personal Care and Beauty"
"economic_development_agency","Government and Public Services"
"edgde of path","Transportation and Transit"
"edible_seeds","Shopping and Retail"
"education","Education and Learning"
"education_centre","Education and Learning"
"educational_supply","Education and Learning"
"eglinton_cross","Transportation and Transit"
"eglinton_west","Transportation and Transit"
"electric","Shopping and Retail"
"electrical","Shopping and Retail"
"electrical_equipment","Shopping and Retail"
"electrical_supply","Shopping and Retail"
"electrician","Professional and Business Services"
"electronic_sign","Other"
"electronics","Shopping and Retail"
"electronics, Mobile Phone, Satellite tv, Computer","Shopping and Retail"
"electronics_repair","Professional and Business Services"
"elevator","Other"
"embroidery","Professional and Business Services"
"embroidery/monogramming","Professional and Business Services"
"emergency_room","Emergency and Safety"
"emissions_testing","Professional and Business Services"
"employment","Professional and Business Services"
"employment_agency","Professional and Business Services"
"employment_services","Professional and Business Services"
"ems_station","Post"
"energy","Other"
"english_school","Education and Learning"
"engraving","Professional and Business Services"
"entertainment","Entertainment and Recreation"
"enthodontics","Healthcare and Medical"
"entrance","Other"
"equestrian","Shopping and Retail"
"equipment_repair","Professional and Business Services"
"equipment_supplier","Shopping and Retail"
"erotic","Other"
"escape","Entertainment and Recreation"
"escape_game","Entertainment and Recreation"
"escooter_rental","Professional and Business Services"
"esoteric","Other"
"estate_agent","Professional and Business Services"
"estate_services","Professional and Business Services"
"event","Events and Venues"
"event_space","Events and Venues"
"events_centre","Events and Venues"
"events_hall","Events and Venues"
"events_venue","Events and Venues"
"exercise_equipment","Shopping and Retail"
"exhibit","Events and Venues"
"exhibition_centre","Events and Venues"
"exhibition_supplies","Shopping and Retail"
"exterior_remodeler","Professional and Business Services"
"eyeglass_repair","Professional and Business Services"
"eyeglasses","Shopping and Retail"
"eyelashes","Personal Care and Beauty"
"eyewear","Shopping and Retail"
"fabric","Shopping and Retail"
"fabric_cleaning","Professional and Business Services"
"facials","Personal Care and Beauty"
"fair_trade","Professional and Business Services"
"fairtrade","Professional and Business Services"
"family_centre","Government and Public Services"
"family_planning","Government and Public Services"
"farm","Residential"
"farmers_market","Shopping and Retail"
"fashion","Shopping and Retail"
"fashion_accessories","Shopping and Retail"
"fast_food","Restaurants, Fast Food and Cafes"
"fence","Other"
"ferris_wheel","Other"
"ferry_terminal","Transportation and Transit"
"ferry_waiting_room","Transportation and Transit"
"finance","Financial Services"
"financial","Financial Services"
"financial_advice","Financial Services"
"financial_advisor","Financial Services"
"financial_group","Financial Services"
"financial_services","Financial Services"
"fire_extinguisher","Emergency and Safety"
"fire_protection","Emergency and Safety"
"fire_safety","Emergency and Safety"
"fire_station","Emergency and Safety"
"firearms","Emergency and Safety"
"firepit","Shopping and Retail"
"fireplace","Shopping and Retail"
"firewood","Shopping and Retail"
"fireworks","Shopping and Retail"
"first_aid","Emergency and Safety"
"first_aid_school","Education and Learning"
"fish_cleaning","Professional and Business Services"
"fishing","Entertainment and Recreation"
"fishmonger","Shopping and Retail"
"fitness","Entertainment and Recreation"
"fitness_centre","Entertainment and Recreation"
"fitness_equipment","Entertainment and Recreation"
"fitness_station","Entertainment and Recreation"
"fixme","Other"
"flag","Other"
"flag_dropoff","Other"
"flame","Other"
"flea_market","Shopping and Retail"
"flight_school","Education and Learning"
"floor_covering","Professional and Business Services"
"flooring","Professional and Business Services"
"florist","Shopping and Retail"
"flower","Shopping and Retail"
"flowers","Shopping and Retail"
"foam","Other"
"fob_pickup","Other"
"food","Restaurants, Fast Food and Cafes"
"food_bank","Restaurants, Fast Food and Cafes"
"food_court","Restaurants, Fast Food and Cafes"
"food_sharing","Restaurants, Fast Food and Cafes"
"foot_shower","Personal Care and Beauty"
"foreign_language","Other"
"forklift","Professional and Business Services"
"fortune_teller","Professional and Business Services"
"fountain","Other"
"frame","Other"
"framing","Professional and Business Services"
"fraternity","Other"
"freeshop","Shopping and Retail"
"fridge","Shopping and Retail"
"frozen_food","Shopping and Retail"
"frozen_meal","Shopping and Retail"
"fuel","Gas Stations"
"function_hall","Events and Venues"
"funeral_directors","Professional and Business Services"
"funeral_hall","Events and Venues"
"funeral_home","Events and Venues"
"furniture","Shopping and Retail"
"furniture_rental","Professional and Business Services"
"furniture_repair","Professional and Business Services"
"furs","Other"
"gallery","Tourism and Attractions"
"gambling","Entertainment and Recreation"
"games","Entertainment and Recreation"
"gaming","Entertainment and Recreation"
"garage_door","Other"
"garden","Entertainment and Recreation"
"garden_center","Shopping and Retail"
"garden_centre","Shopping and Retail"
"garden_furniture","Shopping and Retail"
"garden_machinery","Industrial and Manufacturing"
"gas","Gas Stations"
"gas_pump","Gas Stations"
"gas_substation","Gas Stations"
"gelato","Restaurants, Fast Food and Cafes"
"gems","Other"
"gemstones","Other"
"general","Other"
"generic","Other"
"ghost_kitchen","Other"
"gift","Shopping and Retail"
"gift_and_book_store","Shopping and Retail"
"gift_card","Shopping and Retail"
"ginseng","Other"
"give_box","Other"
"glass","Other"
"glazier","Industrial and Manufacturing"
"glaziery","Industrial and Manufacturing"
"gold_buyer","Financial Services"
"gold_dealer","Financial Services"
"gold_exchange","Financial Services"
"gold_trade","Financial Services"
"golf","Entertainment and Recreation"
"golf_cart","Entertainment and Recreation"
"golf_course","Entertainment and Recreation"
"goods","Other"
"government","Government and Public Services"
"graphic_design","Professional and Business Services"
"gratitude_tree","Other"
"grave_yard","Religious and Spiritual"
"green_bag_pickup","Other"
"green_roof","Other"
"greengrocer","Shopping and Retail"
"greenhouse","Shopping and Retail"
"grill","Other"
"grit_bin","Other"
"grocery","Shopping and Retail"
"groundskeeping","Professional and Business Services"
"growshop","Shopping and Retail"
"guest_house","Accommodation"
"guide_dog_school","Professional and Business Services"
"gun","Other"
"guns","Other"
"gymnasium","Entertainment and Recreation"
"haberdashery","Shopping and Retail"
"hackerspace","Other"
"hair","Personal Care and Beauty"
"hair_loss","Personal Care and Beauty"
"hair_salon","Personal Care and Beauty"
"hairdresser","Personal Care and Beauty"
"hairdresser_supply","Personal Care and Beauty"
"hall","Events and Venues"
"hallowen_store","Shopping and Retail"
"hammock_hangout","Other"
"handbag","Shopping and Retail"
"handbags","Shopping and Retail"
"handicap_ramp","Other"
"hardware","Shopping and Retail"
"hardware_store","Shopping and Retail"
"hardwood","Shopping and Retail"
"hats","Shopping and Retail"
"haunted_house","Other"
"head","Other"
"headshop","Shopping and Retail"
"health","Healthcare and Medical"
"health_club","Healthcare and Medical"
"health_food","Healthcare and Medical"
"health_post","Healthcare and Medical"
"health_wellness","Healthcare and Medical"
"healthcare","Healthcare and Medical"
"hearing_aids","Healthcare and Medical"
"heater","Shopping and Retail"
"heating","Shopping and Retail"
"heating_equipment","Shopping and Retail"
"heating_oil","Shopping and Retail"
"helmet_store","Shopping and Retail"
"herb","Other"
"herbalist","Healthcare and Medical"
"hifi","Other"
"historic","Tourism and Attractions"
"historic building","Tourism and Attractions"
"historical_marker","Tourism and Attractions"
"hitchhiker_station","Transportation and Transit"
"hitching_post","Other"
"hobby","Other"
"holistic_medicine","Healthcare and Medical"
"home","Residential"
"home_brew","Other"
"home_decor","Shopping and Retail"
"home_design","Professional and Business Services"
"home_goods","Shopping and Retail"
"home_goods,_women_&_children_clothing,_gifts,_candles,_bath_&_body,_local_artists,_lamps,_rugs,_furniture","Shopping and Retail"
"home_goods_store","Shopping and Retail"
"home_health_care","Healthcare and Medical"
"home_healthcare","Healthcare and Medical"
"home_inspection","Professional and Business Services"
"homebrewing","Other"
"hometextile","Other"
"honey","Shopping and Retail"
"hookah","Restaurants, Fast Food and Cafes"
"hookah_bar","Restaurants, Fast Food and Cafes"
"hookah_lounge","Restaurants, Fast Food and Cafes"
"hooklah_lounge","Restaurants, Fast Food and Cafes"
"horse_parking","Entertainment and Recreation"
"horse_riding","Entertainment and Recreation"
"hosiery","Shopping and Retail"
"hospital","Healthcare and Medical"
"hostel","Accommodation"
"hot_sauce","Shopping and Retail"
"hot_tub","Shopping and Retail"
"hot_tubs","Shopping and Retail"
"hotel","Accommodation"
"hottub","Shopping and Retail"
"house","Residential"
"household","Residential"
"household_linen","Shopping and Retail"
"houseplant","Shopping and Retail"
"houses","Residential"
"houseware","Shopping and Retail"
"housing co-op","Professional and Business Services"
"humane society","Other"
"hunting","Entertainment and Recreation"
"hunting_stand","Entertainment and Recreation"
"hvac","Professional and Business Services"
"hydroponics","Professional and Business Services"
"ice","Other"
"ice_cream","Restaurants, Fast Food and Cafes"
"ice_rink","Other"
"ice_self_vending","Shopping and Retail"
"ignition_interlock","Other"
"immigration_consultant","Professional and Business Services"
"import","Other"
"imports","Other"
"indian_grocer","Shopping and Retail"
"indoor_play","Entertainment and Recreation"
"industrial_equipment","Industrial and Manufacturing"
"industrial_machinery","Industrial and Manufacturing"
"industrial_supplies","Industrial and Manufacturing"
"information","Other"
"inn","Accommodation"
"insurance","Financial Services"
"interior_decoration","Shopping and Retail"
"interior_design","Professional and Business Services"
"interiors","Professional and Business Services"
"internet_cafe","Restaurants, Fast Food and Cafes"
"internet_provider","Professional and Business Services"
"internet_service","Professional and Business Services"
"internet_service_provider","Professional and Business Services"
"investment_service","Financial Services"
"investments","Financial Services"
"janitor","Professional and Business Services"
"janitorial","Professional and Business Services"
"janitorial_service","Professional and Business Services"
"janitorial_supply","Shopping and Retail"
"jerky","Other"
"jet","Transportation and Transit"
"jewelry","Shopping and Retail"
"jewelry_repair","Professional and Business Services"
"jobcentre","Professional and Business Services"
"juice","Restaurants, Fast Food and Cafes"
"juice_bar","Restaurants, Fast Food and Cafes"
"junk_yard","Waste and Recycling"
"kampeerplaats","Other"
"karaoke","Entertainment and Recreation"
"karaoke_box","Entertainment and Recreation"
"kava_bar","Restaurants, Fast Food and Cafes"
"key_drop","Other"
"kichen","Other"
"kick-scooter_parking","Parking"
"kick-scooter_rental","Professional and Business Services"
"kiddie_ride","Other"
"kids","Other"
"kids_rideons","Professional and Business Services"
"kimchi","Other"
"kindergarten","Education and Learning"
"kiosk","Other"
"kiss_and_ride","Other"
"kitchen","Other"
"kitchen_accessories","Shopping and Retail"
"kitchen_furnishing","Shopping and Retail"
"kitchenware","Shopping and Retail"
"kite","Shopping and Retail"
"kite_rental","Professional and Business Services"
"kites","Shopping and Retail"
"knitting","Professional and Business Services"
"knives","Other"
"kollel","Other"
"laboratory","Professional and Business Services"
"laboratory_equipment","Shopping and Retail"
"land_development","Professional and Business Services"
"landing_steps","Other"
"landmark","Tourism and Attractions"
"landscaping","Professional and Business Services"
"language_school","Education and Learning"
"laundromat","Professional and Business Services"
